Component,mean,std,count
LTE/Fitting,0.16501122533312199,0.04045611975481716,3
LTE/Trajectory Update,0.0340604610000809,0.007231834304061001,3
PCD_rigid/Coarse Alignment,0.8176092993338292,0.13605397639340303,3
PCD_rigid/Downsampling & Chamfer Distance,0.010635186406261652,0.002764206146997258,32
PCD_rigid/ICP Fine Alignment,0.0054410010003872675,0.006077379018949047,3
PCD_rigid/PCD Message Handling & Preprocessing,0.23324466318734946,0.03793055302502352,32
PCD_rigid/Reordering Point Clouds,0.006180322999474166,0.0011119112965286492,3
RS/2D Object Detection,0.003881587092319675,0.0009852753653677875,65
RS/Bounding Box-based Point Cloud Filtering,0.5297144949538191,0.388526318900996,65
RS/Frame Extraction,0.01548209029224377,0.08360935492998682,65
RS/Point Cloud Transformation/Alignment,0.30723303783072947,0.13383090754741434,65
