Component,mean,std,count
LTE/Fitting,0.2390478970000913,,1
LTE/Trajectory Update,0.0358971460000248,,1
PCD_rigid/Coarse Alignment,0.5656907469992802,,1
PCD_rigid/Downsampling & Chamfer Distance,0.009809642666722395,0.0017249232507536949,18
PCD_rigid/ICP Fine Alignment,0.0069479429994316,,1
PCD_rigid/PCD Message Handling & Preprocessing,0.2801296217777336,0.02426984406449735,18
PCD_rigid/Reordering Point Clouds,0.0092879960002392,,1
RS/2D Object Detection,0.0035515328250311923,0.0007328878330440474,80
RS/Bounding Box-based Point Cloud Filtering,0.5959650311249902,0.31211160032120283,80
RS/Frame Extraction,0.013290487599965619,0.07585115090246752,80
RS/Point Cloud Transformation/Alignment,0.3379257379000478,0.08684221023019718,80
