Component,mean,std,count
LTE/Fitting,0.23179963499963682,0.029882419996501326,3
LTE/Trajectory Update,0.028042630000224198,0.004970991079998218,3
PCD_rigid/Coarse Alignment,0.9677300816665593,0.4835690457895373,3
PCD_rigid/Downsampling & Chamfer Distance,0.01015656653329031,0.0021696915720474954,30
PCD_rigid/ICP Fine Alignment,0.007979298000464,0.010466735468286982,3
PCD_rigid/PCD Message Handling & Preprocessing,0.2761725100665898,0.09372503291502311,30
PCD_rigid/Reordering Point Clouds,0.008503354666572666,0.0005850139707782684,3
RS/2D Object Detection,0.0038748913833084,0.0008259946170343287,60
RS/Bounding Box-based Point Cloud Filtering,0.6302735582166709,0.4481789418172541,60
RS/Frame Extraction,0.016331830350039385,0.08715164313601172,60
RS/Point Cloud Transformation/Alignment,0.3375066317166784,0.13092405976723273,60
