Component,mean,std,count
LTE/Fitting,0.12842290146742202,0.07122046048265578,1320
LTE/Trajectory Update,0.021657811143180574,0.008567619072101476,1320
PCD_dynamic/PCD Message Handling & Preprocessing,1.5808470976065008e-06,3.399812946159962e-05,24087
PCD_keypoints/Keypoints entire pipeline,0.00026305629546453637,0.0001683662570417642,1320
RS_mediapipe/Frame Extraction,0.007520932945372189,0.01610813889498638,73443
RS_mediapipe/Keypoint Extraction,0.031091496745687904,0.011680029232782285,65400
RS_mediapipe/PCD Publishing,0.00014239001033874003,0.0001268885746383858,59377
RS_mediapipe/Point Cloud Generation,0.0002454202033670219,0.0006235585843157007,65399
RS_mediapipe/Point Cloud Transformation/Alignment,6.239472634629425e-05,0.00022535244738042964,60189
