Component,mean,std,count
LTE/Fitting,0.21747910533334405,0.07532797377844597,3
LTE/Trajectory Update,0.037301452000027234,0.004924319259048712,3
PCD_rigid/Coarse Alignment,0.7718209156666566,0.2369638298641691,3
PCD_rigid/Downsampling & Chamfer Distance,0.009642632358991323,0.0024966534250280485,39
PCD_rigid/ICP Fine Alignment,0.006368589333343733,0.007859696873841913,3
PCD_rigid/PCD Message Handling & Preprocessing,0.27907502394871764,0.03895275866520437,39
PCD_rigid/Reordering Point Clouds,0.0060453666666641,0.0020764672439093795,3
RS/2D Object Detection,0.003993846215913406,0.002889989863981648,88
RS/Bounding Box-based Point Cloud Filtering,0.5851786827727236,0.3327236329433178,88
RS/Frame Extraction,0.012211739306816922,0.06564061134767149,88
RS/Point Cloud Transformation/Alignment,0.3373974445681798,0.0736500990279667,88
