timestamp,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1739880366.4925072,0.6278132919029261,-0.1989021063120101,0.5763521752479768,0.6523398338964649,0.5524995632443914,0.3237220590817517,0.40546393451275076
1739880366.497275,0.6278132962770708,-0.1989020318903325,0.5763522198673819,0.6523398329795925,0.5524995469000106,0.32372210207803925,0.4054639239311135
1739880366.5021229,0.6278132977088968,-0.19890217011599726,0.5763523176509938,0.6523397986544717,0.5524995018041802,0.32372208087871057,0.40546405753054554
1739880366.5071537,0.627813318723171,-0.19890220578859807,0.5763524051842878,0.6523398432153639,0.552499402471538,0.32372213322748916,0.40546407939667317
1739880366.512148,0.6278132626876554,-0.19890212242665253,0.5763519637297893,0.6523399328339434,0.5524995445638854,0.3237220810309651,0.4054637832653943
1739880366.5171354,0.6278131746038409,-0.19890197502349027,0.5763517028411783,0.652339927399233,0.5524997727449331,0.323721869189389,0.40546365021551417
1739880366.5222218,0.6278131820891456,-0.19890209065570902,0.5763517592568449,0.6523398849204006,0.5524997504204596,0.32372184151425887,0.4054637710745382
1739880366.5270393,0.6278132407836831,-0.1989023388250642,0.576352109826743,0.6523398995396128,0.5524995300336303,0.32372188262416557,0.4054640150389816
1739880366.5320761,0.6278132563377018,-0.19890229077603,0.5763521176724036,0.6523398227780396,0.5524995660384835,0.3237219310260225,0.4054640508330996
1739880366.5371356,0.6278131435258201,-0.19890223707610158,0.5763517420978584,0.6523399277864308,0.5524997089410781,0.32372175276067766,0.4054638294905881
1739880366.5420167,0.6278130614432602,-0.19890216627099094,0.5763515611619558,0.6523399826299949,0.5524997850020112,0.32372165895604343,0.40546371250430846
1739880366.547126,0.6278130425007746,-0.19890230574029455,0.5763516325736127,0.6523399613332392,0.5524998052631803,0.3237214927145023,0.4054638518864414
1739880366.5521426,0.6278131259010853,-0.19890234344518903,0.5763519236332966,0.6523398820312613,0.5524997235155313,0.32372159003567447,0.40546401316451786
1739880366.5570998,0.6278131245744614,-0.1989023005462419,0.5763520385262517,0.6523397592818596,0.5524997543906446,0.3237216157236227,0.40546414807187325
1739880366.562146,0.627813021201858,-0.1989022797225771,0.5763515480864905,0.6523398704757544,0.5524999522260216,0.32372139138791195,0.4054638787065922
1739880366.5671473,0.6278128566486842,-0.19890195672798755,0.5763509915208305,0.6523399551143804,0.5525002328120704,0.32372126229292675,0.40546346326574273
1739880366.5721395,0.6278126995266086,-0.19890178834286296,0.5763503918829479,0.6523401440708307,0.5525004632654351,0.3237210343903947,0.4054630271903223
1739880366.5771208,0.627812692791666,-0.1989016882331796,0.5763504351161263,0.6523400042798967,0.5525006079918683,0.3237209907907021,0.4054630896964683
1739880366.581548,0.6278126137541729,-0.19890165388299957,0.5763502173761527,0.6523400667972021,0.5525006896170642,0.32372089849258784,0.4054629515786145
1739880366.5863395,0.6278123899931719,-0.19890145611292784,0.5763494039442774,0.652340292971222,0.5525010437325151,0.3237205290643221,0.40546240011006834
1739880366.5917976,0.6278120415558692,-0.19890093201271072,0.5763481504178392,0.6523405531627399,0.552501639920261,0.3237201101272677,0.4054615035782588
1739880366.5971437,0.6278117190942036,-0.198900456802284,0.5763467224511445,0.6523408139332543,0.5525022872610083,0.32371966743504976,0.4054605553737556
1739880366.6021354,0.6278114603655941,-0.19890011422985882,0.5763457048232901,0.6523410164658054,0.5525027417073579,0.32371935130639606,0.4054598626645779
1739880366.6071446,0.627811233444685,-0.1988999026275855,0.5763448687660621,0.6523412346289006,0.5525031057598107,0.3237189911218067,0.40545930315592066
1739880366.6121209,0.6278109149921396,-0.1988994327725539,0.576343626129222,0.6523414660128966,0.5525037135114255,0.3237185586032806,0.4054584480462133
1739880366.6171434,0.6278105958957583,-0.19889904272454317,0.5763424965550121,0.6523417059924618,0.5525042041871312,0.3237181897391599,0.4054576878175953
1739880366.6220036,0.6278103200374427,-0.1988987117527113,0.5763413389324724,0.6523419913001965,0.5525046796680579,0.32371781487075985,0.40545688015705345
1739880366.62713,0.6278100998023484,-0.1988982649089694,0.5763404891339833,0.6523421059971597,0.5525051889109373,0.32371749120042614,0.4054562601077728
1739880366.6321266,0.6278099595581438,-0.19889807345972635,0.5763399571963432,0.65234218824937,0.5525054394236208,0.32371732114849255,0.4054559221737658
1739880366.6371171,0.6278098513391527,-0.19889798712022108,0.5763395300540572,0.6523422986878352,0.5525056080604934,0.3237171554602122,0.4054556469764903
1739880366.6420884,0.6278097079319009,-0.19889772366866137,0.5763390257370735,0.6523423617935658,0.552505898378998,0.32371697660880605,0.4054552926294865
1739880366.6471798,0.6278096113497119,-0.19889764769973878,0.5763386919883994,0.6523424437758094,0.552506039000144,0.32371683091958564,0.4054550854242141
1739880366.65215,0.6278095039308219,-0.1988976032136885,0.5763384863347825,0.6523425450517967,0.5525060806008036,0.323716744758134,0.4054549345829695
1739880366.6571224,0.6278094721638321,-0.19889759663251716,0.5763383698655083,0.652342545384924,0.552506126705688,0.32371669333093256,0.4054549122803712
1739880366.662016,0.6278094333826154,-0.19889754447325567,0.5763381502666457,0.6523426902931913,0.5525061700022513,0.3237166351425429,0.40545466659353496
1739880366.6670861,0.6278093756715933,-0.1988973621437551,0.5763379859529071,0.6523426169564854,0.5525063528111956,0.3237165836190383,0.4054545766120453
1739880366.6721127,0.6278092890165894,-0.1988971392144026,0.5763376846079573,0.6523426815106321,0.5525065035084701,0.32371650811422725,0.4054543276803125
1739880366.6775465,0.627809188644276,-0.1988968862678447,0.57633731939079,0.6523427019631592,0.5525067454194208,0.32371639956047943,0.4054540517950759
