,Mean Time (ms),Mean Time (ms),Mean Time (ms),Std Dev (ms),Std Dev (ms),Std Dev (ms),Mean Count,Mean Count,Mean Count,Time per Step (ms),Time per Step (ms),Time per Step (ms)
Scenario,Generalization,Non-Rigid,Rigid,Generalization,Non-Rigid,Rigid,Generalization,Non-Rigid,Rigid,Generalization,Non-Rigid,Rigid
Component,,,,,,,,,,,,
Image Processing,939.737931595386,55.28336691401464,943.1364032229034,418.5339574655907,21.877025181080324,390.8313603881983,634.625,1068.6000000000001,70.0,4.001612698863781,0.05262853104541068,13.883675966021656
LTE-Based Trajectory Adaptation,454.89996831281104,426.9361776983922,242.61127413312792,150.4861551451416,212.4974764552372,29.37584639110928,4.5,5.666666666666667,2.2,253.28902580758904,82.30652915466551,147.4520063109366
Point Cloud Registration,37689.930141960445,0.3787894465668948,1030.2762334723284,5785.754405037931,0.11265536638536121,189.35544625242994,29.75,160.16666666666666,11.8,3957.4774056971764,0.0024352380051643075,99.76176240000582
