Component,Rigid (ms),Generalization (ms),Non-Rigid (ms)
RS,941.649750260011,1085.1656612643094,55.211034669086
PCD,1090.9645168195652,40464.33142391807,0.3765959922855305
LTE,240.0404898180463,462.72593194457073,414.90166047055783
